time_step,chosen_arm,reward,cumulative_rewards
6334,783,1,1
10414,173,1,2
11471,380,1,3
15444,22,0,3
16227,263,1,4
20477,256,0,4
21374,12,1,5
29890,281,1,6
30573,528,1,7
36491,637,1,8
37669,652,1,9
39066,311,1,10
39716,639,1,11
40721,58,0,11
41582,27,1,12
41976,682,1,13
42693,753,0,13
45202,186,1,14
46812,206,0,14
46893,303,0,14
51203,5,1,15
52871,459,1,16
54100,896,0,16
54626,526,1,17
59686,825,1,18
60836,184,1,19
62310,298,1,20
62353,20,1,21
63446,299,1,22
64169,193,1,23
65363,640,0,23
68761,269,0,23
69799,652,1,24
71326,656,1,25
72331,888,0,25
72936,52,1,26
75214,285,1,27
75283,29,1,28
76057,203,1,29
84269,280,1,30
84547,300,0,30
85031,98,1,31
86370,1007,1,32
91913,1077,0,32
