time_step,chosen_arm,reward,cumulative_rewards
3340,749,1,1
4573,707,1,2
4776,80,1,3
4894,300,1,4
7581,290,1,5
7642,550,1,6
9917,472,1,7
12443,657,1,8
13037,545,1,9
14321,320,0,9
14468,285,1,10
16652,29,1,11
16864,75,1,12
18453,286,1,13
18629,123,1,14
19292,211,1,15
20942,263,1,16
22434,331,1,17
25079,638,1,18
25502,677,0,18
25566,818,1,19
26518,417,1,20
28306,109,1,21
28612,68,1,22
29108,871,1,23
29461,877,1,24
34413,172,1,25
36229,614,1,26
37821,183,1,27
38834,180,1,28
39203,355,1,29
41905,811,1,30
42040,266,1,31
42886,972,1,32
44985,718,1,33
45130,10,1,34
45386,749,1,35
46530,284,1,36
47820,638,0,36
48267,153,0,36
48282,157,0,36
49506,975,1,37
49651,308,1,38
49840,195,1,39
52099,313,1,40
59007,230,1,41
59312,778,0,41
61627,515,0,41
62426,159,1,42
64989,378,1,43
65298,461,1,44
65450,46,1,45
74550,502,1,46
75877,240,0,46
77339,869,0,46
78311,221,1,47
81664,115,1,48
82627,676,1,49
84910,7,1,50
85789,91,1,51
89093,178,1,52
89574,231,1,53
