time_step,chosen_arm,reward,cumulative_rewards,current_alpha,current_beta,arm_pulls
2,276,1,1,1.0,1.0,0
5,414,1,2,1.0,0.5,0
7,405,1,3,1.0,0.5,0
9,76,1,4,1.0,0.5,0
10,234,0,4,1.0,0.5,0
11,772,1,5,1.0,0.5,0
12,202,1,6,1.0,0.5,0
13,33,1,7,1.0,0.5,0
14,26,1,8,1.0,0.5,0
16,345,1,9,1.0,0.5,0
17,249,0,9,1.0,0.5,0
20,426,1,10,1.0,0.5,0
22,103,0,10,1.0,0.5,0
24,480,0,10,1.0,0.5,0
25,85,1,11,1.0,0.5,0
29,226,1,12,1.0,0.5,0
33,174,1,13,1.0,0.5,0
35,518,1,14,1.0,0.5,0
36,663,0,14,1.0,0.5,0
37,29,1,15,1.0,0.5,0
43,823,1,16,1.0,0.5,0
46,304,1,17,1.0,0.5,0
47,90,1,18,1.0,0.5,0
49,294,1,19,1.0,0.5,0
50,161,1,20,1.0,0.5,0
51,176,1,21,1.0,0.5,0
57,17,1,22,1.0,0.5,0
58,263,0,22,1.0,0.5,0
59,199,1,23,1.0,0.5,0
60,466,1,24,1.0,0.5,0
61,718,1,25,1.0,0.5,0
62,23,1,26,1.0,0.5,0
64,377,1,27,1.0,0.5,0
67,452,1,28,1.0,0.5,0
68,13,1,29,1.0,0.5,0
69,368,1,30,1.0,0.5,0
70,145,1,31,1.0,0.5,0
73,4,1,32,1.0,0.5,0
74,209,1,33,1.0,0.5,0
76,209,1,34,0.5,0.5,1
77,420,1,35,1.0,0.5,0
79,126,1,36,1.0,0.5,0
84,536,1,37,1.0,0.5,0
85,308,1,38,1.0,0.5,0
86,22,1,39,1.0,0.5,0
87,773,1,40,1.0,0.5,0
89,250,0,40,1.0,0.5,0
93,20,1,41,1.0,0.5,0
96,188,1,42,1.0,0.5,0
98,126,1,43,0.5,0.5,1
99,300,1,44,1.0,0.5,0
102,154,1,45,1.0,0.5,0
103,103,1,46,0.5,0.5,1
105,86,1,47,1.0,0.5,0
108,126,1,48,0.3333333333333333,0.5,2
109,554,1,49,1.0,0.5,0
111,18,1,50,1.0,0.5,0
112,454,1,51,1.0,0.5,0
113,659,1,52,1.0,0.5,0
115,290,1,53,1.0,0.5,0
120,635,1,54,1.0,0.5,0
122,241,1,55,1.0,0.5,0
123,225,1,56,1.0,0.5,0
124,118,1,57,1.0,0.5,0
127,122,1,58,1.0,0.5,0
128,20,1,59,0.5,0.5,1
129,337,1,60,1.0,0.5,0
131,419,1,61,1.0,0.5,0
133,249,1,62,0.5,0.5,1
136,640,0,62,1.0,0.5,0
137,377,1,63,0.5,0.5,1
138,12,0,63,1.0,0.5,0
139,746,1,64,1.0,0.5,0
140,371,1,65,1.0,0.5,0
141,358,1,66,1.0,0.5,0
142,444,1,67,1.0,0.5,0
143,99,1,68,1.0,0.5,0
145,118,1,69,0.5,0.5,1
147,426,1,70,0.5,0.5,1
149,377,1,71,0.3333333333333333,0.5,2
150,718,1,72,0.5,0.5,1
151,248,1,73,1.0,0.5,0
154,488,0,73,1.0,0.5,0
155,662,1,74,1.0,0.5,0
156,295,0,74,1.0,0.5,0
157,102,1,75,1.0,0.5,0
158,157,1,76,1.0,0.5,0
159,3,1,77,1.0,0.5,0
163,269,1,78,1.0,0.5,0
164,120,1,79,1.0,0.5,0
165,406,1,80,1.0,0.5,0
166,144,1,81,1.0,0.5,0
167,256,1,82,1.0,0.5,0
169,388,1,83,1.0,0.5,0
170,785,0,83,1.0,0.5,0
171,70,1,84,1.0,0.5,0
175,639,1,85,1.0,0.5,0
178,152,1,86,1.0,0.5,0
184,839,1,87,1.0,0.5,0
185,727,0,87,1.0,0.5,0
186,196,1,88,1.0,0.5,0
187,804,1,89,1.0,0.5,0
192,358,0,89,0.5,0.5,1
194,416,0,89,1.0,0.5,0
196,423,1,90,1.0,0.5,0
197,633,0,90,1.0,0.5,0
199,200,1,91,1.0,0.5,0
202,255,1,92,1.0,0.5,0
204,361,1,93,1.0,0.5,0
208,214,1,94,1.0,0.5,0
209,316,1,95,1.0,0.5,0
210,158,1,96,1.0,0.5,0
211,161,1,97,0.5,0.5,1
214,12,1,98,0.5,0.5,1
215,8,1,99,1.0,0.5,0
216,111,1,100,1.0,0.5,0
217,12,1,101,0.3333333333333333,0.5,2
224,782,0,101,1.0,0.5,0
225,295,0,101,0.5,0.5,1
226,486,1,102,1.0,0.5,0
227,97,1,103,1.0,0.5,0
231,494,1,104,1.0,0.5,0
232,685,0,104,1.0,0.5,0
233,58,1,105,1.0,0.5,0
235,152,1,106,0.5,0.5,1
239,222,1,107,1.0,0.5,0
240,181,1,108,1.0,0.5,0
241,61,1,109,1.0,0.5,0
242,5,1,110,1.0,0.5,0
243,88,1,111,1.0,0.5,0
244,775,1,112,1.0,0.5,0
245,47,1,113,1.0,0.5,0
247,217,1,114,1.0,0.5,0
248,198,1,115,1.0,0.5,0
251,235,1,116,1.0,0.5,0
252,182,1,117,1.0,0.5,0
253,535,1,118,1.0,0.5,0
254,306,1,119,1.0,0.5,0
257,127,0,119,1.0,0.5,0
261,501,1,120,1.0,0.5,0
264,133,1,121,1.0,0.5,0
265,340,1,122,1.0,0.5,0
266,671,1,123,1.0,0.5,0
267,697,0,123,1.0,0.5,0
268,447,1,124,1.0,0.5,0
272,86,0,124,0.5,0.5,1
273,514,1,125,1.0,0.5,0
275,772,1,126,0.5,0.5,1
278,73,0,126,1.0,0.5,0
279,189,1,127,1.0,0.5,0
280,377,1,128,0.25,0.5,3
281,202,1,129,0.5,0.5,1
282,157,1,130,0.5,0.5,1
283,103,1,131,0.3333333333333333,0.5,2
285,441,1,132,1.0,0.5,0
286,70,1,133,0.5,0.5,1
288,178,1,134,1.0,0.5,0
290,217,1,135,0.5,0.5,1
294,697,1,136,0.5,0.5,1
296,57,1,137,1.0,0.5,0
297,118,1,138,0.3333333333333333,0.5,2
299,424,1,139,1.0,0.5,0
300,448,1,140,1.0,0.5,0
301,277,0,140,1.0,0.5,0
303,68,1,141,1.0,0.5,0
304,195,1,142,1.0,0.5,0
307,13,0,142,0.5,0.5,1
308,57,1,143,0.5,0.5,1
309,278,1,144,1.0,0.5,0
313,184,1,145,1.0,0.5,0
314,133,1,146,0.5,0.5,1
315,30,1,147,1.0,0.5,0
316,140,1,148,1.0,0.5,0
317,293,1,149,1.0,0.5,0
319,312,1,150,1.0,0.5,0
320,448,1,151,0.5,0.5,1
323,171,1,152,1.0,0.5,0
326,380,1,153,1.0,0.5,0
327,830,1,154,1.0,0.5,0
330,192,0,154,1.0,0.5,0
331,568,1,155,1.0,0.5,0
333,759,0,155,1.0,0.5,0
334,800,1,156,1.0,0.5,0
335,363,1,157,1.0,0.5,0
337,704,1,158,1.0,0.5,0
338,217,0,158,0.3333333333333333,0.5,2
339,246,1,159,1.0,0.5,0
340,23,1,160,0.5,0.5,1
341,209,1,161,0.3333333333333333,0.5,2
346,86,1,162,0.3333333333333333,0.5,2
350,602,1,163,1.0,0.5,0
356,305,1,164,1.0,0.5,0
357,813,0,164,1.0,0.5,0
358,502,1,165,1.0,0.5,0
361,748,0,165,1.0,0.5,0
362,774,1,166,1.0,0.5,0
363,155,1,167,1.0,0.5,0
364,293,1,168,0.5,0.5,1
366,295,1,169,0.3333333333333333,0.5,2
368,86,1,170,0.25,0.5,3
371,186,1,171,1.0,0.5,0
372,355,1,172,1.0,0.5,0
373,548,1,173,1.0,0.5,0
374,462,1,174,1.0,0.5,0
376,55,1,175,1.0,0.5,0
377,10,1,176,1.0,0.5,0
378,266,1,177,1.0,0.5,0
380,261,1,178,1.0,0.5,0
383,102,0,178,0.5,0.5,1
384,688,0,178,1.0,0.5,0
386,358,0,178,0.3333333333333333,0.5,2
387,229,1,179,1.0,0.5,0
390,618,1,180,1.0,0.5,0
391,64,1,181,1.0,0.5,0
393,156,1,182,1.0,0.5,0
395,672,1,183,1.0,0.5,0
396,69,0,183,1.0,0.5,0
