,time_step,chosen_arm,reward,cumulative_rewards
0,161,0,1,1
1,250,0,0,1
2,332,0,1,2
3,695,0,1,3
4,1782,0,1,4
5,2984,0,1,5
6,3339,0,0,5
7,3895,0,1,6
8,4128,0,1,7
9,7088,0,0,7
10,7860,0,1,8
11,8015,0,1,9
12,8211,0,1,10
13,9720,0,1,11
14,9987,0,1,12
15,10040,0,1,13
16,11152,0,1,14
17,12082,0,1,15
18,14357,0,1,16
19,15701,0,1,17
20,15879,0,1,18
21,16165,0,0,18
22,16677,0,1,19
23,17110,0,1,20
24,18095,0,1,21
25,18444,0,1,22
26,18600,0,1,23
27,19357,0,1,24
28,19365,0,1,25
29,19901,0,1,26
30,20696,0,0,26
31,21382,0,1,27
32,21401,0,0,27
33,22897,0,1,28
34,22923,0,1,29
35,23083,0,1,30
36,23188,0,0,30
37,24499,0,0,30
38,26774,0,1,31
39,27391,0,1,32
40,32134,0,1,33
41,32272,0,1,34
42,32372,0,1,35
43,32587,0,1,36
44,32749,0,1,37
45,33316,0,0,37
46,33818,0,0,37
47,34881,0,0,37
48,35181,0,0,37
49,36041,0,1,38
50,37438,0,1,39
51,37671,0,1,40
52,40267,0,0,40
53,42150,0,0,40
54,42212,0,0,40
55,44193,0,1,41
56,44259,0,1,42
57,44302,0,1,43
58,46018,0,0,43
59,46432,0,0,43
60,46639,0,1,44
61,46811,0,1,45
62,47909,0,1,46
63,49088,0,1,47
64,49231,0,1,48
65,49624,0,1,49
66,50307,0,1,50
67,50473,0,1,51
68,51858,0,0,51
69,51889,0,1,52
70,54840,0,1,53
71,55553,0,1,54
72,57103,0,1,55
73,57498,0,0,55
74,58273,0,1,56
75,58722,0,0,56
76,60297,0,1,57
77,60381,0,1,58
78,60769,0,1,59
79,60834,0,1,60
80,61190,0,1,61
81,61834,0,1,62
82,61938,0,1,63
83,62110,0,1,64
84,62322,0,1,65
85,62554,0,1,66
86,63471,0,1,67
87,63587,0,1,68
88,64605,0,1,69
89,65074,0,1,70
90,66104,0,0,70
91,66247,0,1,71
92,67314,0,1,72
93,67827,0,1,73
94,69160,0,1,74
95,70636,0,1,75
96,70777,0,1,76
97,71412,0,1,77
98,71752,0,1,78
99,72101,0,1,79
100,72308,0,1,80
101,73588,0,1,81
102,74647,0,1,82
103,75081,0,1,83
104,76089,0,1,84
105,76351,0,1,85
106,78566,0,1,86
107,78592,0,1,87
108,78680,0,1,88
109,78702,0,1,89
110,78761,0,1,90
111,79735,0,0,90
112,79769,0,1,91
113,79888,0,1,92
114,81510,0,1,93
115,82366,0,1,94
116,83551,0,1,95
117,85999,0,1,96
118,87268,0,1,97
119,87441,0,1,98
120,87598,0,1,99
121,89258,0,1,100
122,90089,0,0,100
123,90182,0,1,101
124,90282,0,0,101
125,90550,0,1,102
126,90555,0,1,103
127,90946,0,0,103
128,91027,0,1,104
129,92507,0,1,105
130,92658,0,1,106
