time_step,chosen_arm,reward,cumulative_rewards
139,953,1,1
266,811,1,2
3785,284,1,3
5252,453,1,4
8780,230,1,5
12668,734,1,6
13754,311,1,7
14615,472,1,8
16956,9,1,9
23807,27,1,10
25841,450,1,11
26925,694,1,12
26996,125,1,13
27873,347,1,14
31979,69,1,15
32305,678,0,15
33073,326,1,16
35931,449,1,17
36154,7,1,18
37977,98,1,19
39609,825,0,19
41322,507,1,20
42029,48,1,21
50308,152,0,21
50431,331,1,22
50586,125,1,23
52500,676,0,23
54439,140,1,24
54993,595,0,24
56875,2,1,25
57025,132,1,26
58407,271,0,26
63339,120,0,26
64207,644,0,26
68778,517,1,27
77855,248,1,28
77965,507,1,29
79448,258,1,30
79857,637,1,31
80327,670,0,31
83576,80,0,31
83607,125,1,32
84401,526,1,33
85606,445,1,34
89202,133,1,35
90845,535,1,36
